ax,ay,az,batt_v,epoch,fin_id,latitude,longitude,session_id,temperature,text,time,type_name,wet
-0.04583740234375,1.02532958984375,-0.1356201171875,,,3f0022001847363439353035,26.075695,-80.11093699999999,200827-194533,33.421875,,2020-08-27 19:49:01.200,TEMP+IMU+GPS,True
-0.06463623046875,1.00555419921875,-0.1087646484375,,,3f0022001847363439353035,26.075688,-80.110938,200827-194533,33.3984375,,2020-08-27 19:49:02.200,TEMP+IMU+GPS,True
-0.07159423828125,1.026611328125,-0.163818359375,,,3f0022001847363439353035,26.075681,-80.110938,200827-194533,33.3984375,,2020-08-27 19:49:03.200,TEMP+IMU+GPS,True
-0.02056884765625,1.01861572265625,-0.24261474609375,,,3f0022001847363439353035,26.075675,-80.11094200000001,200827-194533,33.40625,,2020-08-27 19:49:04.200,TEMP+IMU+GPS,True
-0.04461669921875,0.9957275390625,-0.20318603515625,,,3f0022001847363439353035,26.075668,-80.11094399999999,200827-194533,33.3984375,,2020-08-27 19:49:05.200,TEMP+IMU+GPS,True
,,,3.8819999999999997,,3f0022001847363439353035,,,200827-194533,,,2020-08-27 19:49:05.400,BATT INFO,
0.0037841796875,1.01690673828125,-0.22088623046875,,,3f0022001847363439353035,26.075661,-80.110946,200827-194533,33.375,,2020-08-27 19:49:06.300,TEMP+IMU+GPS,True
-0.082763671875,1.0084228515625,-0.18194580078125,,,3f0022001847363439353035,26.075654,-80.110947,200827-194533,33.390625,,2020-08-27 19:49:07.300,TEMP+IMU+GPS,True
-0.0428466796875,1.02685546875,-0.1129150390625,,,3f0022001847363439353035,26.075647,-80.110946,200827-194533,33.40625,,2020-08-27 19:49:08.300,TEMP+IMU+GPS,True
-0.09954833984375,1.03143310546875,-0.04827880859375,,,3f0022001847363439353035,26.075638,-80.110945,200827-194533,33.40625,,2020-08-27 19:49:09.300,TEMP+IMU+GPS,True
-0.0029296875,1.0374755859375,-0.129150390625,,,3f0022001847363439353035,26.07563,-80.110945,200827-194533,33.4140625,,2020-08-27 19:49:10.300,TEMP+IMU+GPS,True
-0.07977294921875,1.01922607421875,-0.0743408203125,,,3f0022001847363439353035,26.07562,-80.11094399999999,200827-194533,33.390625,,2020-08-27 19:49:11.300,TEMP+IMU+GPS,True
-0.0738525390625,1.0152587890625,-0.18115234375,,,3f0022001847363439353035,26.075611,-80.110945,200827-194533,33.3984375,,2020-08-27 19:49:12.300,TEMP+IMU+GPS,True
-0.07012939453125,1.01910400390625,-0.142822265625,,,3f0022001847363439353035,26.075603,-80.110946,200827-194533,33.3984375,,2020-08-27 19:49:13.400,TEMP+IMU+GPS,True
